date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours
2000-07-09,17.3,9.1,3.80,3.80,0.00,7.0
2001-07-01,20.1,14.4,8.70,8.70,0.00,9.0
2001-07-02,20.5,12.8,0.30,0.30,0.00,2.0
2001-07-03,19.7,11.7,0.00,0.00,0.00,0.0
2001-07-04,22.3,10.4,0.00,0.00,0.00,0.0
2001-07-05,24.7,10.9,0.00,0.00,0.00,0.0
2001-07-06,28.4,13.9,0.00,0.00,0.00,0.0
2001-07-07,26.9,14.6,21.10,21.10,0.00,6.0
2001-07-08,21.0,15.4,3.00,3.00,0.00,4.0
2001-07-09,20.8,13.6,0.30,0.30,0.00,2.0
2002-07-01,22.3,11.0,0.00,0.00,0.00,0.0
2002-07-02,19.5,14.0,2.10,2.10,0.00,11.0
2002-07-03,25.0,14.7,7.40,7.40,0.00,7.0
2002-07-04,17.0,11.6,11.10,11.10,0.00,14.0
2002-07-05,22.5,8.7,0.00,0.00,0.00,0.0
2002-07-06,17.2,13.5,5.80,5.80,0.00,16.0
2002-07-07,20.8,12.3,0.80,0.80,0.00,5.0
2002-07-08,27.4,11.3,0.00,0.00,0.00,0.0
2002-07-09,29.4,14.1,1.80,1.80,0.00,3.0
2003-07-01,22.3,12.1,9.50,9.50,0.00,16.0
2003-07-02,21.5,12.2,0.70,0.70,0.00,4.0
2003-07-03,20.2,11.8,2.20,2.20,0.00,9.0
2003-07-04,18.1,12.6,7.40,7.40,0.00,8.0
2003-07-05,19.1,12.5,2.00,2.00,0.00,8.0
2003-07-06,20.5,12.3,0.50,0.50,0.00,2.0
2003-07-07,22.9,13.0,0.00,0.00,0.00,0.0
2003-07-08,22.8,14.7,0.00,0.00,0.00,0.0
2003-07-09,25.6,15.0,1.60,1.60,0.00,2.0
2004-07-01,21.3,12.4,0.80,0.80,0.00,5.0
2004-07-02,17.7,12.5,3.20,3.20,0.00,11.0
2004-07-03,18.7,11.1,0.50,0.50,0.00,3.0
2004-07-04,22.1,9.6,0.00,0.00,0.00,0.0
2004-07-05,23.1,13.6,1.80,1.80,0.00,2.0
2004-07-06,18.3,14.2,14.10,14.10,0.00,16.0
2004-07-07,23.4,12.0,1.50,1.50,0.00,4.0
2004-07-08,27.7,12.4,9.60,9.60,0.00,8.0
2004-07-09,17.9,11.0,13.50,13.50,0.00,9.0
2005-07-01,16.7,13.5,8.90,8.90,0.00,15.0
2005-07-02,18.7,12.2,0.40,0.40,0.00,2.0
2005-07-03,23.3,12.8,0.10,0.10,0.00,1.0
2005-07-04,27.5,11.9,6.70,6.70,0.00,5.0
2005-07-05,15.0,10.7,24.00,24.00,0.00,19.0
2005-07-06,20.5,8.6,1.20,1.20,0.00,6.0
2005-07-07,15.7,10.2,4.80,4.80,0.00,12.0
2005-07-08,17.3,8.1,2.40,2.40,0.00,11.0
2005-07-09,19.2,9.4,0.00,0.00,0.00,0.0
2006-07-01,21.5,11.9,0.20,0.20,0.00,1.0
2006-07-02,22.2,13.0,0.00,0.00,0.00,0.0
2006-07-03,25.2,13.4,0.00,0.00,0.00,0.0
2006-07-04,26.3,13.7,0.20,0.20,0.00,1.0
2006-07-05,27.7,14.5,0.50,0.50,0.00,1.0
2006-07-06,26.7,17.4,6.80,6.80,0.00,10.0
2006-07-07,21.6,16.2,9.30,9.30,0.00,15.0
2006-07-08,22.7,15.2,3.80,3.80,0.00,8.0
2006-07-09,25.5,14.2,0.30,0.30,0.00,1.0
2007-07-01,26.6,11.0,0.00,0.00,0.00,0.0
2007-07-02,18.2,13.2,19.20,19.20,0.00,18.0
2007-07-03,21.5,11.4,7.70,7.70,0.00,6.0
2007-07-04,15.5,11.4,9.70,9.70,0.00,16.0
2007-07-05,15.7,10.4,4.80,4.80,0.00,12.0
2007-07-06,17.7,11.4,1.90,1.90,0.00,5.0
2007-07-07,20.9,12.3,0.00,0.00,0.00,0.0
2007-07-08,23.8,13.2,0.40,0.40,0.00,2.0
2007-07-09,17.2,10.8,14.20,14.20,0.00,16.0
2008-07-01,26.4,13.2,0.00,0.00,0.00,0.0
2008-07-02,26.6,15.1,2.60,2.60,0.00,2.0
2008-07-03,27.8,15.3,5.50,5.50,0.00,7.0
2008-07-04,19.6,13.5,1.40,1.40,0.00,7.0
2008-07-05,22.5,12.3,0.00,0.00,0.00,0.0
2008-07-06,27.1,12.7,10.00,10.00,0.00,5.0
2008-07-07,16.9,12.9,13.60,13.60,0.00,18.0
2008-07-08,19.7,12.3,0.80,0.80,0.00,4.0
2008-07-09,19.7,12.0,1.10,1.10,0.00,6.0
2009-07-01,24.6,13.8,6.70,6.70,0.00,10.0
2009-07-02,24.8,14.1,9.60,9.60,0.00,7.0
2009-07-03,24.4,15.0,7.00,7.00,0.00,14.0
2009-07-04,23.1,15.9,11.70,11.70,0.00,23.0
2009-07-05,24.0,13.9,8.50,8.50,0.00,11.0
2009-07-06,20.8,15.8,15.40,15.40,0.00,19.0
2009-07-07,20.4,12.6,11.30,11.30,0.00,11.0
2009-07-08,17.5,11.6,2.30,2.30,0.00,8.0
2009-07-09,18.3,11.7,1.00,1.00,0.00,6.0
2010-07-01,25.7,14.9,0.00,0.00,0.00,0.0
2010-07-02,27.6,14.9,0.00,0.00,0.00,0.0
2010-07-03,28.6,15.2,0.00,0.00,0.00,0.0
2010-07-04,24.2,17.4,8.40,8.40,0.00,10.0
2010-07-05,24.8,16.7,5.90,5.90,0.00,8.0
2010-07-06,20.8,15.1,0.10,0.10,0.00,1.0
2010-07-07,21.0,12.8,0.00,0.00,0.00,0.0
2010-07-08,25.0,10.9,0.00,0.00,0.00,0.0
2010-07-09,28.9,13.4,0.00,0.00,0.00,0.0
2011-07-01,16.0,10.1,10.40,10.40,0.00,8.0
2011-07-02,16.1,7.8,2.00,2.00,0.00,9.0
2011-07-03,14.6,10.2,0.00,0.00,0.00,0.0
2011-07-04,22.0,11.3,0.00,0.00,0.00,0.0
2011-07-05,22.8,13.6,0.50,0.50,0.00,1.0
2011-07-06,25.8,13.1,0.00,0.00,0.00,0.0
2011-07-07,25.5,14.8,4.90,4.90,0.00,3.0
2011-07-08,22.2,14.3,8.50,8.50,0.00,8.0
2011-07-09,25.0,14.9,1.40,1.40,0.00,2.0
2012-07-01,27.0,16.0,1.50,1.50,0.00,3.0
2012-07-02,24.9,14.6,0.60,0.60,0.00,2.0
2012-07-03,20.3,16.4,3.50,3.50,0.00,11.0
2012-07-04,24.2,14.8,0.00,0.00,0.00,0.0
2012-07-05,24.9,15.4,8.20,8.20,0.00,9.0
2012-07-06,22.1,16.5,4.40,4.40,0.00,11.0
2012-07-07,22.1,15.3,7.10,7.10,0.00,9.0
2012-07-08,23.9,12.9,1.20,1.20,0.00,4.0
2012-07-09,21.4,15.5,1.40,1.40,0.00,5.0
2013-07-01,21.7,10.3,0.00,0.00,0.00,0.0
2013-07-02,23.1,10.5,0.00,0.00,0.00,0.0
2013-07-03,22.6,13.1,3.70,3.70,0.00,8.0
2013-07-04,21.4,13.8,2.00,2.00,0.00,10.0
2013-07-05,21.8,14.6,1.10,1.10,0.00,7.0
2013-07-06,22.2,13.1,0.20,0.20,0.00,1.0
2013-07-07,23.2,14.8,0.70,0.70,0.00,5.0
2013-07-08,24.0,14.3,0.00,0.00,0.00,0.0
2013-07-09,24.4,13.8,0.00,0.00,0.00,0.0
2014-07-01,20.3,8.7,0.00,0.00,0.00,0.0
2014-07-02,17.6,11.8,5.50,5.50,0.00,9.0
2014-07-03,23.6,8.3,0.00,0.00,0.00,0.0
2014-07-04,28.4,10.6,0.20,0.20,0.00,1.0
2014-07-05,22.6,16.2,1.10,1.10,0.00,3.0
2014-07-06,27.7,14.0,0.00,0.00,0.00,0.0
2014-07-07,24.4,17.5,0.10,0.10,0.00,1.0
2014-07-08,19.8,11.9,8.40,8.40,0.00,12.0
2014-07-09,12.7,10.8,10.50,10.50,0.00,21.0
2015-07-01,27.4,13.5,0.00,0.00,0.00,0.0
2015-07-02,28.3,14.7,0.00,0.00,0.00,0.0
2015-07-03,28.8,16.2,0.50,0.50,0.00,1.0
2015-07-04,31.7,16.1,0.20,0.20,0.00,1.0
2015-07-05,32.5,19.4,0.00,0.00,0.00,0.0
2015-07-06,27.1,21.1,0.00,0.00,0.00,0.0
2015-07-07,32.0,17.6,0.00,0.00,0.00,0.0
2015-07-08,22.7,16.7,2.00,2.00,0.00,5.0
2015-07-09,18.5,14.2,0.20,0.20,0.00,1.0
2016-07-01,24.8,13.3,0.00,0.00,0.00,0.0
2016-07-02,21.3,13.5,7.40,7.40,0.00,11.0
2016-07-03,18.0,13.1,0.60,0.60,0.00,1.0
2016-07-04,21.1,12.1,0.00,0.00,0.00,0.0
2016-07-05,23.4,11.5,0.30,0.30,0.00,2.0
2016-07-06,19.5,14.2,0.00,0.00,0.00,0.0
2016-07-07,21.5,12.8,0.00,0.00,0.00,0.0
2016-07-08,26.2,11.1,0.00,0.00,0.00,0.0
2016-07-09,24.6,17.0,0.00,0.00,0.00,0.0
2017-07-01,19.8,13.2,0.50,0.50,0.00,4.0
2017-07-02,18.7,13.4,11.00,11.00,0.00,20.0
2017-07-03,20.9,13.1,0.80,0.80,0.00,6.0
2017-07-04,23.6,13.3,1.00,1.00,0.00,5.0
2017-07-05,27.5,13.3,0.80,0.80,0.00,1.0
2017-07-06,28.9,15.6,1.00,1.00,0.00,1.0
2017-07-07,29.4,18.2,3.40,3.40,0.00,2.0
2017-07-08,27.7,18.1,0.50,0.50,0.00,3.0
2017-07-09,27.3,17.9,3.20,3.20,0.00,9.0
2018-07-01,21.3,11.3,0.00,0.00,0.00,0.0
2018-07-02,22.9,10.0,0.00,0.00,0.00,0.0
2018-07-03,24.2,11.5,0.00,0.00,0.00,0.0
2018-07-04,24.9,15.5,0.20,0.20,0.00,1.0
2018-07-05,25.9,12.7,3.30,3.30,0.00,6.0
2018-07-06,19.3,15.2,35.90,35.90,0.00,19.0
2018-07-07,22.3,13.7,0.40,0.40,0.00,4.0
2018-07-08,23.8,14.5,0.00,0.00,0.00,0.0
2018-07-09,24.1,12.8,0.00,0.00,0.00,0.0
2019-07-01,30.4,19.1,3.90,3.90,0.00,4.0
2019-07-02,23.9,17.7,6.80,6.80,0.00,13.0
2019-07-03,23.9,13.2,0.00,0.00,0.00,0.0
2019-07-04,24.8,11.6,0.00,0.00,0.00,0.0
2019-07-05,26.7,12.5,0.00,0.00,0.00,0.0
2019-07-06,29.6,15.5,0.40,0.40,0.00,2.0
2019-07-07,22.3,16.0,13.20,13.20,0.00,15.0
2019-07-08,18.2,12.5,1.50,1.50,0.00,9.0
2019-07-09,19.4,12.7,0.00,0.00,0.00,0.0
2020-07-01,27.9,13.7,0.80,0.80,0.00,3.0
2020-07-02,23.9,16.4,10.40,10.40,0.00,9.0
2020-07-03,19.7,14.0,2.60,2.60,0.00,6.0
2020-07-04,22.8,13.6,0.00,0.00,0.00,0.0
2020-07-05,26.0,15.4,0.00,0.00,0.00,0.0
2020-07-06,21.0,13.6,0.90,0.90,0.00,2.0
2020-07-07,20.2,9.8,0.00,0.00,0.00,0.0
2020-07-08,24.1,10.2,0.00,0.00,0.00,0.0
2020-07-09,26.7,13.3,0.00,0.00,0.00,0.0
2021-07-01,17.6,11.9,6.10,6.10,0.00,16.0
2021-07-02,20.9,13.0,0.00,0.00,0.00,0.0
2021-07-03,23.7,11.2,0.00,0.00,0.00,0.0
2021-07-04,21.5,15.4,11.30,11.30,0.00,19.0
2021-07-05,20.5,13.4,0.20,0.20,0.00,2.0
2021-07-06,29.3,14.4,0.30,0.30,0.00,3.0
2021-07-07,20.3,15.9,3.70,3.70,0.00,9.0
2021-07-08,21.8,14.9,7.50,7.50,0.00,15.0
2021-07-09,18.8,13.3,12.00,12.00,0.00,19.0
2022-07-01,17.8,12.0,7.10,7.10,0.00,8.0
2022-07-02,22.3,9.2,0.00,0.00,0.00,0.0
2022-07-03,28.5,13.6,0.00,0.00,0.00,0.0
2022-07-04,25.4,16.9,9.90,9.90,0.00,10.0
2022-07-05,24.3,16.1,1.20,1.20,0.00,6.0
2022-07-06,23.3,14.2,0.20,0.20,0.00,2.0
2022-07-07,19.5,12.6,10.30,10.30,0.00,12.0
2022-07-08,18.1,11.6,6.20,6.20,0.00,5.0
2022-07-09,21.5,10.8,0.10,0.10,0.00,1.0
2023-07-01,23.0,15.6,2.30,2.30,0.00,7.0
2023-07-02,22.1,15.6,3.20,3.20,0.00,10.0
2023-07-03,22.8,13.8,0.00,0.00,0.00,0.0
2023-07-04,24.0,15.5,1.40,1.40,0.00,6.0
2023-07-05,22.7,14.3,11.20,11.20,0.00,8.0
2023-07-06,22.9,11.2,0.10,0.10,0.00,1.0
2023-07-07,26.9,10.2,0.00,0.00,0.00,0.0
2023-07-08,28.3,13.4,0.00,0.00,0.00,0.0
2023-07-09,30.6,15.4,0.00,0.00,0.00,0.0
2024-07-01,21.2,13.7,3.10,3.10,0.00,9.0
2024-07-02,18.2,11.7,0.40,0.40,0.00,3.0
2024-07-03,18.1,12.2,14.10,14.10,0.00,20.0
2024-07-04,20.9,10.8,2.70,2.70,0.00,6.0
2024-07-05,24.0,14.4,0.30,0.30,0.00,2.0
2024-07-06,29.1,15.3,3.20,3.20,0.00,6.0
2024-07-07,17.6,13.4,11.50,11.50,0.00,16.0
2024-07-08,22.7,11.7,0.00,0.00,0.00,0.0
2024-07-09,28.4,13.6,0.00,0.00,0.00,0.0
